DEPARTAMENTO,MUNICIPIO
Cesar,Valledupar
Atlántico,Barranquilla
Antioquia,Medellín
Antioquia,Bello
Antioquia,Itagüí
Bolívar,Cartagena de Indias
Valle del Cauca,Cali
Córdoba,Chimá
Norte de Santander,San José de Cúcuta
Antioquia,Envigado
Sucre,Sincelejo
Córdoba,Montería
Cesar,La Paz
Córdoba,Lorica
Magdalena,Santa Marta
La Guajira,Urumita
Antioquia,Copacabana
Atlántico,Malambo
Santander,Bucaramanga
Córdoba,Tierralta
Córdoba,Pueblo Nuevo
Nariño,Pasto
La Guajira,Maicao
Córdoba,Planeta Rica
Córdoba,San Pelayo
Cesar,Bosconia
Córdoba,San Carlos
Caldas,Manizales
Cesar,Astrea
Santander,Barrancabermeja
Atlántico,Soledad
Magdalena,Fundación
Caldas,Chinchiná
Nariño,San Andrés de Tumaco
Nariño,Ipiales
Santander,Puerto Wilches
Caldas,Villamaría
Cauca,Piendamó - Tunía
Risaralda,Pereira
Quindio,La Tebaida
Antioquia,Hispania
Antioquia,Ebéjico
Nariño,Buesaco
Valle del Cauca,Buenaventura
Valle del Cauca,Palmira
Santander,Chipatá
Chocó,Riosucio
Antioquia,Turbo
Cauca,Puracé
Santander,Vélez
Nariño,Colón
"Bogotá, D.C.","Bogotá, D.C."
Valle del Cauca,Alcalá
Boyacá,Duitama
Cauca,Popayán
Tolima,Flandes
Huila,Guadalupe
Huila,Garzón
Cauca,Inzá
Tolima,Chaparral
Huila,Neiva
Antioquia,Yondó
Huila,Baraya
Boyacá,Tunja
Antioquia,Santa Bárbara
Boyacá,Puerto Boyacá
Boyacá,Ventaquemada
Cundinamarca,Soacha
Cundinamarca,Lenguazaque
Cundinamarca,Fusagasugá
Cundinamarca,Mosquera
Tolima,Prado
Tolima,Ibagué
Cundinamarca,Cajicá
Meta,Villavicencio
Casanare,Yopal
Casanare,Tauramena
Casanare,Támara
Cundinamarca,Une
Guaviare,San José del Guaviare
